id,Timestamp,Представьтесь в 2-3 фразах,Работали ли Вы с Jupyter notebooks?,Что Вы ждете от курса?,Потом мы прямо этот же набор данных поанализируем с Pandas. Так что какой Ваш любимый вид спорта?,"Ладно, посерьезней: согласны ли Вы на обработку персональных данных?","Какие оцениваете свой уровень математической подготовки? (матан, линал, теорвер)","Чему равна дисперсия равномерного на [0,6] распределения?","Найдите минимум функции 3x^4-8x^3+6x^2-12 на отрезке [-3,3]",Сколько параметров у нормального распределения?,Сможете написать на Python генератор чисел Фибоначчи?,"Хорошо, а готовы к началу курса (6 сентября 2017) освоить азы Python? На уровне Code Academy, DataCamp или github.com/Yorko/python_intro",Оцените свой уровень владения GitHub,"Посоветуйте хороший фильм в стиле ""Игра в имитацию"" :)"
1483,2017/08/11 10:04:08 pm GMT+3,"Я тучка-тучка-тучка, я вовсе не медведь. Активно изучаю DataScience на Python (Python 3/IPython/Jupyter) для использования в практических задачах.",Да,Полезных практических навыков,Бокс,Да,3,3,-12,2.0,Да,Уже освоил,Могу редактировать свою копию,Halt and catch fire
1484,2017/08/11 10:06:37 pm GMT+3,Студент 4го курса мат.фака,Нет,"Жду базовые знания по машинному обучению, подкрепленные интересными   примерами и заданиями, которые не дадут разлететься полученной информации.",Dota 2. Киберспорт - тоже спорт ведь?),Да,5,3,-12,2.0,Да,Да,Могу редактировать свою копию,Энигма
1485,2017/08/11 10:09:17 pm GMT+3,Scala dev. Студент 6го курса Программной инженерии ХНУРЭ,Нет,"Вспомнить статистику, попрактиковаться в прикладных задачах машинного обучения",,Да,3,3,-12,2.0,Да,знаком с python,Проф,
1486,2017/08/11 10:10:04 pm GMT+3,C# ASP NET MVC,Да,всего,Никакой,Да,3,,,4.0,"могу, но НЕ ХОЧУ",итак знаю,"Пользуюсь ветками, могу что-то смерджить",
1487,2017/08/11 10:16:27 pm GMT+3,Maxim Sikorenko,Нет,Понимания дальнейшего пути развития в Data Science,Роллерблейд,Да,2,0.5,-12,2.0,Нет,Да,По нулям,Притворщик
1488,2017/08/11 10:20:37 pm GMT+3,"Девелопер, 9 лет пишу на шарпе. Полгода назад ""заболел"" ML.",Да,"Структурировать имеющиеся знания, получить новые. + Построить ценный ML'ный социальный граф",Программирование,Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить","Не знаю =( Но зашарьте результаты, плиз"
1489,2017/08/11 10:24:32 pm GMT+3,Почти студент,Нет,Чуда,Хоккей,Да,1,,,2.0,Да,Да,Могу редактировать свою копию,Игры разума
1490,2017/08/11 10:31:43 pm GMT+3,"Студент, химик, любитель синтеза этанола.",Нет,"Расширения кругозора, теоретической и практической подготовки по анализу данных.",Яхтинг,Да,3,3,-12,3.0,Да,Да,Могу скачать материалы,Игры разума
1491,2017/08/11 10:42:03 pm GMT+3,"Фрилансер, увлеченный математикой вообще и анализом данных в частности. Допускаю работу в команде/стартапе/корпорации. Преподавал, внедрял, программировал, руководил отделом.",Нет,"Формирования начального джентльменского набора для анализа - как теории, так и инструментария. Конкретно сейчас нужны практические подходы к 1) анализу нестационарных временных рядов, 2) анализу твитов. ",Картинг,Да,3,3,-12,2.0,Да,Да,Могу скачать материалы,"Человек, который изменил всё"
1492,2017/08/11 10:43:59 pm GMT+3,студент НГТУ,Да,новых знаний,футбол,Да,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,Игры разума
1493,2017/08/11 11:07:00 pm GMT+3,"Начинающий в ML, DL, math заодно",Да,"Понимание алгоритмов ML, практика",Шахматы,Да,1,3,-12,2.0,Да,Да,Могу скачать материалы,Скрытые фигуры
1494,2017/08/11 11:19:31 pm GMT+3,прикладной математик в анабиозе,Да,"Попробовать себя в интересном направлении, расшевелить мозги, оценить на практике тему курса.",бег,Да,3,3,-12,2.0,Да,Да,Могу скачать материалы,Игры разума
1495,2017/08/11 11:20:53 pm GMT+3,"Математик-программист, самостоятельно изучающий машинное обучение",Да,повысить практические навыки в машинном обучении,формула 1,Да,4,3,-11,2.0,Да,Да,Могу редактировать свою копию,скрытые фигуры
1496,2017/08/11 11:23:25 pm GMT+3,Программист участвующий в проектах использующих ML,Да,Примеры решений реальных задач,Плавание,Да,3,,,2.0,Да,Уже освоил,Проф,
1497,2017/08/11 11:41:14 pm GMT+3,"Я студентка 4 курса НИУ ВШЭ. Пробовала работать в сфере анализа данных, хочу систематизировать свои знания.",Да,Жду годной практики и действительно полезной теории (какие-нибудь примеры из реальных проектов). ,Биатлон,Да,3,3,-12,2.0,Да,Да,По нулям,"""Теория всего"""
1499,2017/08/12 12:00:14 am GMT+3,Хороший системный администратор и программист,Да,"Опыт, новые связи, предложения о работе",Кайтинг,Да,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,Человек дождя
1500,2017/08/12 12:03:42 am GMT+3,"Студент 2 курса магистратуры МФТИ,.",Да,Получить практические навыки в применении машинного обучения. ,Плавание.,Да,4,3,-11,2.0,Да,Да,Могу скачать материалы,-
1501,2017/08/12 12:06:44 am GMT+3,Студент Технопарка. Ленивый. :),Да,"Контроля над временем, которое я самостоятельно мог бы потратить на обучение ML, но не так эффективно.","олимпиады по программированию? Но я в них не участвую, только болею. Мда, я создал ""outlier"".",Да,3,3,"всё, что сложнее параболы → wolframalpha.",2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Надо будет-таки собраться посмотреть. :)
1502,2017/08/12 12:08:24 am GMT+3,Изучаю машинное обучение на Udacity. Изучаю Python для web dev везде где можно.,Да,"Углубить и закрепить знания, связанные с машинным обучением.",Велосипед,Да,3,3,-12,2.0,Да,Да,Могу редактировать свою копию,
1503,2017/08/12 12:12:55 am GMT+3,Кушнерик Павел Иванович,Да,"Интересных задач, доступного изложения материала.",,Да,5,3,-12,2.0,Да,Да,Могу редактировать свою копию,
1504,2017/08/12 12:29:13 am GMT+3,IT Продукт. Интересуюсь машинным обучением,Нет,Новых знаний) ,Большой теннис ,Да,5,3,-12.3,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Игра в имитацию
1505,2017/08/12 12:41:02 am GMT+3,"Магистрант ВШУ имени Высоковского НИУ ВШЭ. Интересен анализ данных в транспортном планировании и развитии городов. В бакалавриате и магистратуре прослушал базовые курсы алгебры и анализа, теорвера и матстата, программирования на Пайтоне и Ар, основ эконометрики.",Да,Систематическое изложение машинного обучения ,Футбол,Да,4,3,0,2.0,Да,Да,Могу скачать материалы,Игры разума
1506,2017/08/12 12:47:40 am GMT+3,"Руководитель группы мониторинга, SDV",Да,Улучшить знания в области DS и получить практические навыки,Футбол,Да,3,3,-12,2.0,Да,Да,Могу скачать материалы,
1507,2017/08/12 1:11:00 am GMT+3,Аналитик в аудиторской компании,Да,Знания и практический опыт применения машинного обучения и конечно сообщество единомышленников,Crossfit,Да,5,3,-12,2.0,Да,Да,По нулям,X+Y
1508,2017/08/12 1:22:12 am GMT+3,Data driven decision maker ),Да,Ai skills,Ping pong,Да,3,3,-12,2.0,Нет,Да,Могу редактировать свою копию,"Человек, который изменил все"
1509,2017/08/12 1:22:17 am GMT+3,"У меня очень плохой характер, я крайне скверно реагирую на шутки и попытки со мной говорить.",Да,Выучить вещи.,,Да,3,3,-12,2.0,Да,Да,Могу редактировать свою копию,
1510,2017/08/12 1:37:21 am GMT+3,"Ныне студент-химик, ранее школьник, увлекавшийся IT",Да,Опыт,,Да,2,,,,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
1512,2017/08/12 2:30:49 am GMT+3,Программист backend на Scala,Да,Знаний :)),настольный теннис,Да,3,3,-12,2.0,Да,Да,Проф,Игры разума
1513,2017/08/12 2:57:12 am GMT+3,"Опытный разработчик (Java/Groovy) в поисках прикладной области по душе. Когда-то выпускник ВМиК МГУ, что по математической подготовке, впрочем, уже не скажешь.",Да,"Систематизировать знания, полученные на аналогичной специализации яндекса, прохождение которой несколько затянулось, что уменьшило эффективность. Ну и больше практики приобрести, конечно.",Кайтинг,Да,3,3,-12,2.0,Да,Да,Проф,Игры разума
1514,2017/08/12 4:13:38 am GMT+3,"бэндер, любитель поней",Да,хорошей подачи материала,влеоспорт,Да,3,,,2.0,Да,Да,Могу редактировать свою копию,
1515,2017/08/12 6:22:32 am GMT+3,"Студент МФТИ, 3 курс ФРТК, увлекаюсь машинным обучением. В свободное время занимаюсь спортом.",Да,"Систематизировать знания, закрепить их практикой и, возможно, завести новых друзей",Плавание,Да,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,Игры разума
1516,2017/08/12 7:06:34 am GMT+3,к.т.н,Да,ничего,ММА,Да,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,Игры разума
1517,2017/08/12 8:45:53 am GMT+3,Php разработчик,Да,Понимания принципов машинного обучения,Баскетбол,Да,1,Что?,Вернулся и указал 1,4.0,Нет,Да,Проф,Не знаю
1518,2017/08/12 8:57:35 am GMT+3,научный работник,Да,знаний,теннис,Да,3,0.5,-12,2.0,Да,Да,Могу скачать материалы,17 мгновений весны
1519,2017/08/12 9:01:57 am GMT+3,"Я product manager в средних размеров компании, занимающейся телематикой. Хочу на курс, чтобы принимать больше решений исходя из исторических данных",Нет,"Хочу сменить род деятельности, надеюсь этот курс станет хорошей вкидкой в десциплину",Теннис,Да,3,3,-11,2.0,Нет,Да,Могу редактировать свою копию,
1520,2017/08/12 9:07:42 am GMT+3,"36 лет, физик по образованию, 1С разработчик по стечению обстоятельств. Женат, имею кота. Живу и работаю в Оренбурге.",Нет,"Хочу сменить специализацию, нужен начальный вектор. С чего начать и куда двигаться дальше. И да, в силу природной лени, нужно, что бы кто-то по этому вектору пнул :)",Теннис. Настольный теннис.,Да,3,3,-12,2.0,Да,Да,Могу скачать материалы,"""Игры разума""? :) "
1521,2017/08/12 9:18:00 am GMT+3,Не идеальный фрилансер ),Нет,Пинка к началу обучения,тайский бокс,Да,2,,,,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
1522,2017/08/12 9:34:12 am GMT+3,"Люблю сериалы, кодить, сложные задачи",Нет,"Сделать первые шаги в сторону такого перспективного направления, как машинное обучение",Смешанные единоборства,Да,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,
1523,2017/08/12 9:39:43 am GMT+3,"Занимаюсь машинным обучением, хочу развиваться дальше!",Да,повышение своих знаний и практики,сноуборд,Да,4,3,-12,2.0,"можно, но будет ограничение по длине списка",Да,Могу скачать материалы,Игры разума :)
1524,2017/08/12 9:52:39 am GMT+3,1с разработчик который сильно заскучал. ,Да,Получить начальное представление об анализе данных,Плавание,Да,1,,,,Да,Да,Могу скачать материалы,
1525,2017/08/12 10:45:39 am GMT+3,Интересуюсь data science ,Да,Расширение знаний ,,Да,4,,,,Да,Да,Могу скачать материалы,
1526,2017/08/12 10:52:00 am GMT+3,Аспирант МФТИ. Стремлюсь к познанию Data Science. ,Да,Получить базовые прикладные навыки в области data science. ,Футбол ,Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Игра престолов :) 
1527,2017/08/12 10:52:18 am GMT+3,Упарываюсь по функциональщине,Нет,Реальных знаний в голове,"Ролики, free-style",Да,3,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
1528,2017/08/12 10:52:58 am GMT+3,"Выпускница ВМК МГУ,  интересуюсь машинным обучением",Нет,"Лучшего понимания того, нравится ли мне эта тематика, а также хочу лучше разбираться в данной области.",Горные лыжи,Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
1529,2017/08/12 10:57:22 am GMT+3,А удален обучение возможно?ное,А удаленное обучение возможно?,А удаленное обучение возможно?,,Да,5,,,,Да,Да,,
1530,2017/08/12 11:00:46 am GMT+3,"Я студент технической специальности, люблю кошек и программирование",Нет,Знакомство с современными методами и технологиями обработки данных,Кёрлинг,Да,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,
1531,2017/08/12 11:04:54 am GMT+3, Начинающий Data Scientist,Да,Возможность углубить свои знания и улучшить практические навыки,,Да,3,3,-12,2.0,Да,Да,Могу скачать материалы,
1532,2017/08/12 11:08:21 am GMT+3,Я фул стэк разработчик. Имею опыт анализа экономичяеских данных и построения прогнозов на их основе. Хочу научиться решать задачи категоризации на текстовых данных,Нет,"Расширения кругозора, получения представления основных требований к машинному обучению, по меньшей мере.",,Да,3,0.5,,2.0,Да,Да,Проф,
1533,2017/08/12 11:10:38 am GMT+3,Представился,Нет,"Ничего не жду, просто мне интересно машинное обучение",Киберспорт,Да,2,,-12,2.0,Что это?,Да,Могу редактировать свою копию,
1534,2017/08/12 11:20:23 am GMT+3,"фронт-энд разраб, фрилансер, 41 год",Да,хочу научиться сегментировать пользователей и предсказывать их выбор на сайте,MMA,Да,3,3,-12,2.0,Да,Да,Могу редактировать свою копию,Ramanujan
1535,2017/08/12 11:37:11 am GMT+3,Разработчик voip. Увлекаюсь Ml,Да,Новых знаний,Спортивное диванолежание,Да,2,,,,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Акула
1536,2017/08/12 11:44:55 am GMT+3,интересуюсь нейро сетями,Да,заполнить пробелы в знаниях,фитнесс,Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить","не смотрел, посоветовать не могу"
1537,2017/08/12 11:52:17 am GMT+3,Ай тишник,Нет,"Знакомства, новые знания",Лежание на диване,Да,3,0.5,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Игры разума
1538,2017/08/12 12:02:57 pm GMT+3,Начинающий Data Scientist ,Да,Улучшить свои навыки,Плавание,Да,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,
1539,2017/08/12 12:07:17 pm GMT+3,Вэб разработчик,Да,Хочу получить скилы в DS,Баскетбол,Да,3,,-12,,Да,Да,Проф,Игры разума
1540,2017/08/12 12:08:54 pm GMT+3,Студентка 2-го курса магистратуры университета ИТМО. Занимаюсь анализом социальных сетей и NLP для русского языка.,Да,"Побольше практики, интересные индивидуальные проекты.",Ролики,Да,3,6,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
1541,2017/08/12 12:25:19 pm GMT+3,second go around :),Да,Новых задач,figure skating,Да,3,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Mr Robot
1542,2017/08/12 12:54:56 pm GMT+3,Преподаю экономическую теорию. Интересусь количественными методами и поведенческой экономикой,Нет,Повышение качества научных исследований,Сквош,Да,2,3,-12,2.0,Да,Да,Могу редактировать свою копию,Замри и гори
1543,2017/08/12 12:59:43 pm GMT+3,"Я студент 3 курса в МГТУ на кафедре ИУ3, также являюсь студентом технопарка. В последнее время стали интересовать нейронные сети и машинное обучение.",Да,Научиться применять знания языков программирования и вышмата вместе :),Баскетбол,Да,4,3,-12,2.0,Да,уже,"Пользуюсь ветками, могу что-то смерджить","Кинопоиск говорит ""Игры разума"""
1544,2017/08/12 1:11:31 pm GMT+3,Изучала математику в университете. Сейчас работаю в data science.,Да,Хочу повторить основы.Стуктурировать материал в голове ,теннис,Да,5,3,-12,2.0,Да,уже знаю достаточно на этот уровень,"Пользуюсь ветками, могу что-то смерджить",Доказательство (2004год)
1545,2017/08/12 1:14:15 pm GMT+3,Добрый день. Прошу записать меня на курс.,Нет,Повышение уровня знаний по обработке данных,Шахматы,Да,3,3,-12,2.0,Нет,Да,Могу скачать материалы,
1546,2017/08/12 1:17:57 pm GMT+3,Начинающий дата сайентист.,Да,Ответы на вопросы.,,Да,3,3,-12,2.0,Нет,Да,Могу скачать материалы,Игры разума
1547,2017/08/12 1:25:48 pm GMT+3,участвую в промышленном проекте с применением машинного обучения,Да,"освежить знания и приобрести новые, участие в сообществе, поиск единомышленников",настольный теннис,Да,4,0.03,-12,2.0,Да,Да,Могу редактировать свою копию,"""Игры разума"" самый близкий фильм, но точно уже просмотрен, поэтому - ""Жертвуя пешкой"" (Pawn Sacrifice)"
1548,2017/08/12 1:29:17 pm GMT+3,Здравствуйте. Я самоучка в data science. ,Да,"Получить\улучшить практические навыки по работе с данными. Понять, как правильно настраивать модели, какие метрики использовать и т.д.",квиддич,Да,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,Игры разума
1549,2017/08/12 1:36:37 pm GMT+3,Привет,Нет,представление о настоящем состоянии бигдата,бег,Да,2,,,,Нет,Да,Могу скачать материалы,
1550,2017/08/12 1:43:59 pm GMT+3,Консультант,Нет,Получить навыки про анализу данных и машинному обучению,,Да,3,3,-12,2.0,Нет,Да,Могу скачать материалы,
1551,2017/08/12 1:45:23 pm GMT+3,Программист,Нет,Получить знания,Бодибилдинг,Да,4,,-12,,"давно не практиковался, но можно попробовать ",Да,По нулям,Игры разума
1552,2017/08/12 1:52:14 pm GMT+3,"Закончил МГТУ имени Баумана и в этом году магистратуру Экономического факультета ВШЭ. Увлекся анализом данных и не перестаю удивляться, какую силу хранит в себе аппарат машинного обучения для извлечения закономерностей и построения выводов.",Да,Прокачки знаний и встречи с новыми интересными людьми.,ММА,Да,5,3,-12,2.0,Да,Да,Могу редактировать свою копию,Игры разума
1553,2017/08/12 1:56:39 pm GMT+3,Ильдар. Валиев Ильдар.,Да,Освежить знания и узнать что-то новое,Яхтинг ;),Да,4,3,-12,2.0,Да,Продвинут в питоне,Проф,Бронсон
1554,2017/08/12 1:58:46 pm GMT+3,Привет. Вопрос не понял.,Да,Знания,Бег,Да,2,3,-11,2.0,Нет,Да,По нулям,Не смотрел
1555,2017/08/12 2:00:38 pm GMT+3,"IOS разработчик, интересно было бы посмотреть что-то новое",Нет,"освоить азы машинного обучения, понять, стоит ли заниматься этим в дальнейшем",гребля,Да,2,3,,2.0,Нет,Да,"Пользуюсь ветками, могу что-то смерджить",
1556,2017/08/12 2:05:32 pm GMT+3,Пытаюсь что то сделать полезное,Да,Систематизации знаний,Рукопашный бой,Да,2,3,-12,2.0,Да,Да,Могу скачать материалы,
1557,2017/08/12 2:19:00 pm GMT+3,Аспирант,Да,improve skills,,Да,5,3,,2.0,Нет,Да,Могу скачать материалы,
1558,2017/08/12 2:23:51 pm GMT+3,33 года. Окончил мех-мат МГУ. Работаю научным сотрудником в МТУСИ.,Нет,Получение знаний в области машинного обучения с целью их использования в своей текущей или новой работе.,Бокс,Да,3,1,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Не знаю. Фильмы практически не смотрю :)
1559,2017/08/12 2:29:14 pm GMT+3,Слишком много текста,Нет,Получения опыта,,Да,2,3,-12,2.0,Да,Да,Могу скачать материалы,kinopoisk поможет
1561,2017/08/12 2:34:21 pm GMT+3,"Junior программист, очень нравится идея ИИ, только начал изучать НН",Нет,"Расширить свои знания. Надеюсь, что это будет отправным пунктом в серьезном изучение AI",Баскетбол!,Да,2,Не знаю таких слов,-12,,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Превосходство
1562,2017/08/12 2:40:58 pm GMT+3,Жду тех сингулярность ,Нет,Хочу понять как применить машинное обучение в сфере мобильного эквайринга и не только ,тяжелая атлетика,Да,1,Не знаю,Не знаю,4.0,Не знаю Python но готов учиться,Да,Могу скачать материалы,Фильмы про капитана америку нравятся 
1563,2017/08/12 2:41:01 pm GMT+3,"Студент, почти выпускник магистерского курса по финансовому инжинирингу в ВШЭ в Праге. Работаю дата аналитиком. Имею огромный интерес к машинному обучению.",Да,Получить как можно больше практических знаний по машинному обучению.,Футбол,Да,4,3,-12,2.0,Да,Да,Могу скачать материалы,Начало
1564,2017/08/12 2:51:08 pm GMT+3,"6+ лет разрабатываю разное на питоне, пару раз участвовал в кеггле, делал курсы по бд, нравятся хакатоны",Да,"рост навыка анализа данных, сколотить/влиться в команду дата саентистов",крикeт,Да,2,3,-12,2.0,Да,Да,Проф,
1565,2017/08/12 2:54:58 pm GMT+3,PhD в University of Twente,Да,"Интересной работы, улучшение навыков в data science",футбол,Да,3,3,-12,2.0,Да,Да,Могу скачать материалы,Игры разума
1567,2017/08/12 3:19:52 pm GMT+3,Немного программирую на Java™. По образованию переводчик.,Нет,"если ничего не пойму, то хотя бы узнаю насколько тяжело даётся машинное обучение гуманитариям",Dota 2,Да,1,3,-12,2.0,Да,Да,Могу скачать материалы,
1568,2017/08/12 3:41:55 pm GMT+3,!,Нет,!,скелетон,Да,5,3,-12,2.0,Да,Да,Проф,-
1569,2017/08/12 4:21:49 pm GMT+3,Работаю Data Analyst в компании по разработке ПО.,Да,Улучшить свои знания в области машинного обучения.,Велоспорт,Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Игры разума
1570,2017/08/12 4:48:05 pm GMT+3,"Backend - разработчик (python, go), большой интерес к машинному обучению и большим данным, есть академические результаты в машинном обучении",Да,Новых знаний и опыта ,Баскетбол,Да,2,3,-12,1.0,Да,Да,Проф,
1571,2017/08/12 5:40:56 pm GMT+3,"Инженер, люблю осваивать новые области знания",Нет,"Получить представление о методах машинного обучения и, возможно, некоторые азы. ",бег,Да,4,3,-11,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить","""Подводная одиссея Жак-ива Кусто"""
1572,2017/08/12 6:23:23 pm GMT+3,"поступил в 10-й класс. ""дилетант широкого профиля"", иногда делаю всякую фигню для себя, которая уже имеет тысячи подобных велосипедных решений",Нет,"Общения с интересными людьми и доступа к знаниям, которые с трудом гуглятся/платны",Шахматы,Да,4,0.5,-12,2.0,Да,Да,Могу скачать материалы,"Фильмы особо не смотрю, так что ничего лучше ""Военные игры"" не могу предложить"
1573,2017/08/12 7:14:21 pm GMT+3,"Выпускник специальности ""Прикладная математика и физика"", хотел бы в дальнейшем заниматься программированием в математически нагруженной области, поэтому было бы здорово познакомиться с машинным обучением.",Нет,"Получить начальные представления о машинном обучении и (в идеале) понять, как можно развиваться дальше.",стрельба из лука,Да,3,3,-12,2.0,Да,Да,Могу редактировать свою копию,
1574,2017/08/12 7:16:37 pm GMT+3,"Студент НТУУ ""КПИ им. Сикорского"". Занимаюсь веб разработкой, а также интересуюсь машинным обучением.",Нет,"Ожидаю получить знания в области машинного обучения, а также применить их на реальных интересных проектах. ",Футбол,Да,3,3,-12,2.0,Да,Да,Могу редактировать свою копию,Игры разума
1575,2017/08/12 7:56:54 pm GMT+3,"Начинала как физик-инженер, продолжаю как QA Automation Engineer, хочу стать Data Science Man",приступила к прочтению Python Data Science Handbook (в виде Jupyter notebooks),"Ровно того, что заявлено в целях курса",художественная гимнастика,Да,3,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить","Не совсем то, конечно, но фильм забавный (""Человек, который познал бесконечность"")"
1576,2017/08/12 8:16:55 pm GMT+3,Senior go/php/python developer,Да,Повторить материал,Большой теннис,Да,2,0.5,-16,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
1577,2017/08/12 8:20:59 pm GMT+3,"Живу в Минске, работаю BI analyst, интересуюсь data science и аналитикой",Да,"Знаний, получение нового опыта решения практических задач",Биатлон,Да,4,4,-12,2.0,Да,Да,Могу скачать материалы, Moneyball
1578,2017/08/12 8:35:30 pm GMT+3,"Привет, я Вячеслав Зубов",Да,Повысить свой уровень в DS,Плавание,Да,3,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Игры разума
1579,2017/08/12 9:33:18 pm GMT+3,Data Science моё хобби. На данный момент заканчиваю специализацию на курсере от МФТИ.,Да,Системного но краткого подхода к изложению материала.,:),Да,4,3,-12,2.0,Да,Да,Могу скачать материалы,
1580,2017/08/12 9:34:06 pm GMT+3,Curious developer,Да,"Углубление познаний, поднятие математического уровня, общение с коллегами",Футбол,Да,2,3,-12,2.0,Да,Да,Проф,"Theory of Everything, Genius (TV series)"
1581,2017/08/12 10:13:03 pm GMT+3,Студент МФТИ. Выпускник Технотрека. Android разработчик Tinkoff Bank,Да,Развитие скилов,Футбол),Да,4,3,-12,2.0,Да,Да,Проф,
1582,2017/08/12 10:31:40 pm GMT+3,Студент. Люблю математику. Машинное обучение - хобби,Да,Расставить разрозненные знания по полочкам и углубиться дальше в машинное обучение,Киберспорт,Да,4,3,-12,2.0,Да,Да,Могу скачать материалы,игры разума
1583,2017/08/12 10:32:55 pm GMT+3,Выпускник МФТИ,Да,"Хочу получить знания, практические навыки и достижения, которые можно занести себе в резюме",Пауэрлифтинг,Да,5,3,-12,2.0,Да,Да,Могу редактировать свою копию,
1584,2017/08/12 10:58:07 pm GMT+3,Node.js разработчик.,Нет,Новых знаний для применения в реальных проектах.,Баскетбол,Да,4,,,,Да,Да,Проф,
1585,2017/08/13 12:35:34 am GMT+3,Есть желание прослушать курс. освоить азы,Да,"интересных задач, примеров, лекций",футбол,Да,3,3,-12,2.0,Да,Да,Могу редактировать свою копию,Сериал Числа
1586,2017/08/13 12:54:35 am GMT+3,33 года. Инженер-разработчик.,Немного. В основном PyCharm,"Надеюсь поможет лучше понять принципы МО. Даже если не получиться успешно завершить курс, это в любом случае будет крайне полезно и будет являться отличной подготовкой к следующему курсу. ",Литрбол,Да,1,,,,Да,Да,"Пользуюсь ветками, могу что-то смерджить",План побега
1587,2017/08/13 1:14:55 am GMT+3,Студент 3-го курса ФУПМ МФТИ. Сейчас занимаюсь ML в биологической лаборатории.,Да,Углубить теоретические знания ML и укрепить практические навыки,Баскетбол,Да,5,3,-12,2.0,Да,И так вполне владею Python,"Пользуюсь ветками, могу что-то смерджить",Понятия не имею 
1588,2017/08/13 1:38:52 am GMT+3,"Студент второго курса ФКН, ПМИ. Занимаюсь ML как хобби, посещаю хаккатоны, решаю кегл компетишены",Да,Практики и систематизации знаний.,Dota 2,Да,3,3,-12,2.0,Да,Да,Могу редактировать свою копию,"Big Short, "
1589,2017/08/13 2:05:21 am GMT+3,Работаю в Сбертехе ведущим разработчиком. Хочу освоить DataScience для смены работы.,Да,Сложных и интересных задач. ,Биллиард,Да,3,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Игры разума
1590,2017/08/13 2:20:51 am GMT+3,"ненаглядный , обаяшка",Да,Хорошей практики,Баскетбол,Да,3,0,-12,2.0,Да,Уже знаю python),Могу редактировать свою копию,"если зайти в фильмографию известных актёров, можно найти много интересных фильмов, которые не видел )"
1592,2017/08/13 4:33:47 am GMT+3,"Привет, я всего лишь студент ИТМО 3 курса. Занимаюсь самыми разными вещами. В последнее время пишу ботов, потому и забрёл к вам :)",Нет,"Получить новые знания, уметь их применять в своих проектах, а если повезет, то и работать с Вами в одной команде",Прокрастинация,Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить","Игры разума (скорее всего смотрели, но это первое, что приходит на ум)"
1593,2017/08/13 5:11:15 am GMT+3,Аспирант РУДН,Да,Получить новые теоретические и практические знания по ML ,Футбол,Да,5,3,,2.0,Да,Да,Могу редактировать свою копию,
1594,2017/08/13 6:20:38 am GMT+3,"Будущая студентка 5 курса мат-меха СПбГУ, специализируюсь на теории вероятностей и мат.статистике. ",Да,"Хочу получить толчок, помощь в получении практических навыков на основе моих базовых и в ориентации в этой сфере деятельности",Плавание,Да,5,3,-12,2.0,Да,Да,Могу скачать материалы,A Beautiful Mind
1595,2017/08/13 8:10:18 am GMT+3,Студент третьего курса МИФИ. Люблю философию языка и сознания,Да,"Машинного обучения, разумеется",Плавание,Да,4,,,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Игры разума
1596,2017/08/13 8:34:47 am GMT+3,"Работаю преподавателем. Специализируюсь на картографии, геоинформатике.",Нет,Получить практический опыт в области машинного обучения,Автогонки,Да,1,0.5,-12,2.0,Нет,Да,Могу редактировать свою копию,
1597,2017/08/13 9:31:33 am GMT+3,Работаю дата саентистом в страховой,Да,Интересных практических заданий,Бег,Да,4,3,-12,2.0,Нет,Уже освоено,Могу скачать материалы,
