"surgery","age","hospital_number","rectal_temp","pulse","respiratory_rate","temp_of_extremities","peripheral_pulse","mucous_membrane","capillary_refill_time","pain","peristalsis","abdominal_distention","nasogastric_tube","nasogastric_reflux","nasogastric_reflux_ph","rectal_exam_feces","abdomen","packed_cell_volume","total_protein","abdomo_appearance","abdomo_protein","outcome","surgical_lesion","lesion_1","lesion_2","lesion_3","cp_data"
"no","adult",530624,40,78,NA,"cool","reduced","bright_red","less_3_sec","depressed","hypomotile","none","none","none",NA,"absent","normal",66,6.5,NA,NA,"died","yes",8400,0,0,"yes"
"yes","adult",527544,NA,70,16,"cool","absent","bright_red","more_3_sec","depressed","hypomotile","slight","slight","none",NA,"absent","distend_large",60,7.5,NA,NA,"died","yes",1400,0,0,"no"
"yes","adult",527758,38.2,72,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,6.4,NA,NA,"lived","yes",3124,0,0,"no"
"no","adult",530439,38.5,54,NA,"normal","normal","normal_pink","less_3_sec","mild_pain","hypermotile","none","slight","none",NA,"normal",NA,40,6.8,"cloudy",7,"lived","no",0,0,0,"yes"
"yes","adult",5283431,38.5,66,24,"normal","normal","normal_pink","less_3_sec","mild_pain","hypomotile","none","slight","none",NA,"absent","distend_large",40,6.7,"clear",NA,"lived","yes",31110,0,0,"yes"
"no","adult",5275212,37.8,82,12,"cool","normal","normal_pink","more_3_sec","severe_pain",NA,"moderate","none","more_1_liter",NA,NA,NA,50,7,NA,NA,"euthanized","yes",2205,0,0,"no"
"no","young",5305129,39.5,84,30,NA,NA,NA,"less_3_sec",NA,NA,NA,NA,NA,NA,NA,NA,28,5,NA,NA,"lived","no",0,0,0,"no"
"yes","adult",529428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lived","yes",2124,0,0,"no"
"yes","adult",529126,38,50,36,NA,"normal","normal_pink","less_3_sec","mild_pain","normal","slight",NA,NA,NA,"decreased",NA,39,6.6,"clear",5.3,"lived","yes",8400,0,0,"yes"
"no","adult",535054,38.6,45,16,"warm","normal","bright_pink","less_3_sec","alert","hypermotile",NA,NA,NA,NA,"normal","normal",43,58,NA,NA,"lived","no",0,0,0,"no"
"yes","adult",528890,38.9,80,44,"cool","reduced","pale_pink","less_3_sec","depressed","hypomotile","moderate","slight","less_1_liter",7,"decreased","normal",54,6.5,"serosanguious",NA,"died","yes",7111,0,0,"no"
"yes","adult",530034,37,66,20,"normal","reduced","bright_pink","less_3_sec","severe_pain","hypomotile","moderate","none",NA,NA,"normal","distend_large",35,6.9,"cloudy",NA,"died","yes",31110,0,0,"no"
"yes","adult",534004,NA,78,24,"cool","reduced","pale_pink","less_3_sec",NA,"hypomotile",NA,"slight","none",NA,NA,"distend_small",43,62,NA,2,"euthanized","no",2209,0,0,"no"
"no","adult",533902,38.5,40,16,"normal","normal","normal_pink","less_3_sec","depressed","hypermotile","none",NA,NA,NA,"decreased","other",37,67,NA,NA,"lived","no",0,0,0,"no"
"yes","adult",533886,NA,120,70,"cold",NA,"pale_cyanotic","more_3_sec","depressed","absent",NA,NA,NA,NA,NA,"distend_large",55,65,NA,NA,"euthanized","no",3205,0,0,"no"
"no","adult",527702,37.2,72,24,"cool","increased","pale_cyanotic","more_3_sec","severe_pain","hypomotile","moderate","significant","none",NA,"absent","distend_small",44,NA,"serosanguious",3.3,"euthanized","yes",2208,0,0,"yes"
"yes","adult",529386,37.5,72,30,"cold","reduced","pale_cyanotic","less_3_sec","severe_pain","absent","moderate","slight","none",NA,"decreased","distend_large",60,6.8,NA,NA,"died","yes",3205,0,0,"no"
"yes","adult",530612,36.5,100,24,"cool","reduced","pale_pink","less_3_sec","mild_pain","hypomotile","moderate","significant","none",NA,"absent","distend_small",50,6,"serosanguious",3.4,"lived","yes",2208,0,0,"yes"
"yes","adult",534618,37.2,40,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent","normal",36,62,"clear",1,"euthanized","no",6112,0,0,"no"
